URL in opinion,Timetravel URL,Rot,Archive,Archive Source,CL address,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID,Link rot,Ref rot,IP owner handle,IP owner name,HTTP status code
http://www.census.gov/prod/cen2000/phc-1-34.pdf,http://timetravel.mementoweb.org/list/20050329151530/http://www.census.gov/prod/cen2000/phc-1-34.pdf,,1,"IA, archive-it",http://courtlistener.org/opinion/142882/city-of-sherrill-v-oneida-indian-nation-of-ny/,City of Sherrill v. Oneida Indian Nation of NY,3/29/05,None,48,142882,0,0,AKAMAI,"Akamai Technologies, Inc.",200
http://www.eeoc.gov/briefs/meacha.txt,http://timetravel.mementoweb.org/list/20050330151530/http://www.eeoc.gov/briefs/meacha.txt,,1,IA,http://courtlistener.org/opinion/142883/smith-v-city-of-jackson/,Smith v. City of Jackson,3/30/05,None,124,142883,0,s404,Couldn't find IP owner's handle.,Couldn't find IP owner's name.,404
http://www.eeoc.gov/sitkov.txt,http://timetravel.mementoweb.org/list/20050330151530/http://www.eeoc.gov/sitkov.txt,,0,,http://courtlistener.org/opinion/142883/smith-v-city-of-jackson/,Smith v. City of Jackson,3/30/05,None,124,142883,0,s404,Couldn't find IP owner's handle.,Couldn't find IP owner's name.,404
http://www.epa.gov/pesticides/regulating/index.htm,http://timetravel.mementoweb.org/list/20050427151530/http://www.epa.gov/pesticides/regulating/index.htm,,1,"IA, National Archives and Records Administration, archive-it, archive.today, Stanford Web Archive",http://courtlistener.org/opinion/142892/bates-v-dow-agrosciences-llc/,Bates v. Dow Agrosciences LLC,4/27/05,None,134,142892,0,0,UEPA,U.S. Environmental Protection Agency,200
http://www.epa.gov/opppmsd1/PR_Notices/pr96-4.html,http://timetravel.mementoweb.org/list/20050427151530/http://www.epa.gov/opppmsd1/PR_Notices/pr96-4.html,,1,IA,http://courtlistener.org/opinion/142892/bates-v-dow-agrosciences-llc/,Bates v. Dow Agrosciences LLC,4/27/05,None,134,142892,0,s404,UEPA,U.S. Environmental Protection Agency,404
http://www.americanwineries.org/newsroom/winefacts04.htm,http://timetravel.mementoweb.org/list/20050516151530/http://www.americanwineries.org/newsroom/winefacts04.htm,,,IA,http://courtlistener.org/opinion/142893/granholm-v-heald/,Granholm v. Heald,5/16/05,None,65,142893,0,1,BO,WEBSITEWELCOME.COM,200
http://www.ftc.gov/os/2003/07/winereport2.pdf,http://timetravel.mementoweb.org/list/20050516151530/http://www.ftc.gov/os/2003/07/winereport2.pdf,,1,"IA, National Archives and Records Administration, archive-it",http://courtlistener.org/opinion/142893/granholm-v-heald/,Granholm v. Heald,5/16/05,None,65,142893,0,0,AKAMAI,"Akamai Technologies, Inc.",200
http://www.cato.org/pubs/regulation/regv27n3/v27n3-3.pdf,http://timetravel.mementoweb.org/list/20050516151530/http://www.cato.org/pubs/regulation/regv27n3/v27n3-3.pdf,,1,IA,http://courtlistener.org/opinion/142893/granholm-v-heald/,Granholm v. Heald,5/16/05,None,65,142893,0,s404,Couldn't find IP owner's handle.,Couldn't find IP owner's name.,404
http://www.health.gov/dietaryguidelines/dga2005/document/,http://timetravel.mementoweb.org/list/20050523151530/http://www.health.gov/dietaryguidelines/dga2005/document/,,1,"IA, National Archives and Records Administration, archive.today",http://courtlistener.org/opinion/142895/johanns-v-livestock-marketing-assn/,Johanns v. Livestock Marketing Assn.,5/23/05,None,60,142895,0,0,UDHHS,U.S. Dept. of Health and Human Services,200
http://tarr.uspto.gov/servlet/tarr?regser=registration&entry=2352917,http://timetravel.mementoweb.org/list/20050523151530/http://tarr.uspto.gov/servlet/tarr?regser=registration&entry=2352917,,0,,http://courtlistener.org/opinion/142895/johanns-v-livestock-marketing-assn/,Johanns v. Livestock Marketing Assn.,5/23/05,None,60,142895,0,0,GOGL,Google Inc.,200
http://www.ojp.usdoj.gov/bjs/pub/pdf/pjim03.pdf,http://timetravel.mementoweb.org/list/20050523151530/http://www.ojp.usdoj.gov/bjs/pub/pdf/pjim03.pdf,,1,"IA, National Archives and Records Administration, archive-it",http://courtlistener.org/opinion/142898/medellin-v-dretke/,Medellin v. Dretke,5/23/05,None,36,142898,1,0,UDJ,US Dept of Justice,404
http://untreaty.un.org/English/bible/englishinternetbible/partI/chapterIII/treaty31.asp,http://timetravel.mementoweb.org/list/20050523151530/http://untreaty.un.org/English/bible/englishinternetbible/partI/chapterIII/treaty31.asp,,1,IA,http://courtlistener.org/opinion/142898/medellin-v-dretke/,Medellin v. Dretke,5/23/05,None,36,142898,1,0,UNITED-2,United Nations,404
http://www.deathpenaltyinfo.org/article.php?did=198&scid=31,http://timetravel.mementoweb.org/list/20050523151530/http://www.deathpenaltyinfo.org/article.php?did=198&scid=31,,1,"IA, Icelandic Web Archive, archive.today",http://courtlistener.org/opinion/142898/medellin-v-dretke/,Medellin v. Dretke,5/23/05,None,36,142898,0,1,PAIR,pair Networks,200
http://www.drc.state.oh.us/web/DRCORG1.pdf,http://timetravel.mementoweb.org/list/20050531151530/http://www.drc.state.oh.us/web/DRCORG1.pdf,,1,IA,http://courtlistener.org/opinion/142900/cutter-v-wilkinson/,Cutter v. Wilkinson,5/31/05,None,212,142900,0,0,STOH,Department of Administrative Services,200
