URL in opinion,CL ID,Case name,CL address,Date opinion was filed,Opinion download URL,Citation count
http://help.netflix.com/en/node/412,2680437,"American Broadcasting Cos. v. Aereo, Inc.",http://courtlistener.org/opinion/2680437/american-broadcasting-cos-v-aereo-inc/,2014-06-25,http://www.supremecourt.gov/opinions/13pdf/13-461_l537.pdf,0
http://2001-2009.state.gov/outofdate/bios/d/7988.htm.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://memory.loc.gov/ammem/collections/madison_papers.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://history.state.gov/departmenthistory/people/glazer-charles-l.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://mynlrb.nlrb.gov/link/document.aspx/09031d45800d5d75.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://wardepartmentpapers.org/document.php?id=31766.10,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://founders.archives.gov/documents/Washington/99-01-02-00702;,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.ssab.gov/AbouttheBoard/Members.aspx.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.nlrb.gov/who-we-are/board/members-nlrb-1935,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.dnfsb.gov/about/board-members/joseph-j-dinunno.54,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.unhcr.org/news/NEWS/3fda0f584.html.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.nlrb.gov/who-we-are/general-counsel/general-counsels-1935.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.nlrb.gov/who-we-are/board/members-nlrb-1935.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.dmnews.com/prc-chairman-gleiman-retires/article/70877.,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://papers.ssrn.com/sol3/papers.cfm?abstract_id=2374563(all,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://www.justice.gov/olc/opiniondocs/section7054.pdf(quoting,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://georgewbush,2680590,NLRB v. Noel Canning,http://courtlistener.org/opinion/2680590/nlrb-v-noel-canning/,2014-06-26,http://www.supremecourt.gov/opinions/13pdf/12-1281_bodg.pdf,3
http://hrsa.gov/womensguidelines.,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
http://cbo.gov/publication/45231.42,2681317,"Burwell v. Hobby Lobby Stores, Inc.",http://courtlistener.org/opinion/2681317/burwell-v-hobby-lobby-stores-inc/,2014-06-30,http://www.supremecourt.gov/opinions/13pdf/13-354_olp1.pdf,7
