URL in opinion,CL address,Timetravel URL,Case name,Date opinion was filed,Opinion download URL,Citation count,CL ID
http://www.civilrightsproject.harvard.edu/research/reseg03/,http://courtlistener.org/opinion/130154/gratz-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.civilrightsproject.harvard.edu/research/reseg03/,Gratz v. Bollinger,2003-06-23,None,75,130154
http://www.civilrightsproject.harvard.edu/research/affirmativeaction/,http://courtlistener.org/opinion/130154/gratz-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.civilrightsproject.harvard.edu/research/affirmativeaction/,Gratz v. Bollinger,2003-06-23,None,75,130154
http://www.law.,http://courtlistener.org/opinion/130155/grutter-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.law.,Grutter v. Bollinger,2003-06-23,None,162,130155
http://www.civilrightsproject.harvard.edu/research/,http://courtlistener.org/opinion/130155/grutter-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.civilrightsproject.harvard.edu/research/,Grutter v. Bollinger,2003-06-23,None,162,130155
http://www.,http://courtlistener.org/opinion/130155/grutter-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.,Grutter v. Bollinger,2003-06-23,None,162,130155
http://www.michiganlawyersweekly.com/,http://courtlistener.org/opinion/130155/grutter-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.michiganlawyersweekly.com/,Grutter v. Bollinger,2003-06-23,None,162,130155
http://www.ucop.edu/,http://courtlistener.org/opinion/130155/grutter-v-bollinger/,http://timetravel.mementoweb.org/list/20030623151530/http://www.ucop.edu/,Grutter v. Bollinger,2003-06-23,None,162,130155
http://www.pirg.org/democracy/democracy.asp?id2=5068.,http://courtlistener.org/opinion/131149/mcconnell-v-federal-election-commn/,http://timetravel.mementoweb.org/list/20031210151530/http://www.pirg.org/democracy/democracy.asp?id2=5068.,McConnell v. Federal Election Comm'n,2003-12-10,None,230,131149
http://www.fec.gov/press/051501congfinact/tables/allcong2000.xls,http://courtlistener.org/opinion/131149/mcconnell-v-federal-election-commn/,http://timetravel.mementoweb.org/list/20031210151530/http://www.fec.gov/press/051501congfinact/tables/allcong2000.xls,McConnell v. Federal Election Comm'n,2003-12-10,None,230,131149
http://www.,http://courtlistener.org/opinion/131153/verizon-communications-inc-v-law-offices-of-curtis/,http://timetravel.mementoweb.org/list/20040113151530/http://www.,"Verizon Communications Inc. v. Law Offices of Curtis v. Trinko, LLP",2004-01-13,None,78,131153
http://hraunfoss.,http://courtlistener.org/opinion/131153/verizon-communications-inc-v-law-offices-of-curtis/,http://timetravel.mementoweb.org/list/20040113151530/http://hraunfoss.,"Verizon Communications Inc. v. Law Offices of Curtis v. Trinko, LLP",2004-01-13,None,78,131153
http://news.bbc.co.uk/1/hi/uk/290996.stm,http://courtlistener.org/opinion/131164/olympic-airways-v-husain/,http://timetravel.mementoweb.org/list/20040224151530/http://news.bbc.co.uk/1/hi/uk/290996.stm,Olympic Airways v. Husain,2004-02-24,None,40,131164
http://www.usps.com/financials/_pdf/GFY03.pdf,http://courtlistener.org/opinion/131167/postal-service-v-flamingo-industries-usa-ltd/,http://timetravel.mementoweb.org/list/20040225151530/http://www.usps.com/financials/_pdf/GFY03.pdf,Postal Service v. Flamingo Industries (USA) Ltd.,2004-02-25,None,27,131167
http://212.153.43.18/,http://courtlistener.org/opinion/134087/torres-v-mullin-warden/,http://timetravel.mementoweb.org/list/20031117151530/http://212.153.43.18/,"Torres v. Mullin, Warden",2003-11-17,http://bulk.resource.org/courts.gov/c/US/540/540.US.1035.03-5781.html,0,134087
http://212.153.43.18/icjwww/idocket/imus/,http://courtlistener.org/opinion/134087/torres-v-mullin-warden/,http://timetravel.mementoweb.org/list/20031117151530/http://212.153.43.18/icjwww/idocket/imus/,"Torres v. Mullin, Warden",2003-11-17,http://bulk.resource.org/courts.gov/c/US/540/540.US.1035.03-5781.html,0,134087
http://212.153.43.18/icjwww/,http://courtlistener.org/opinion/134087/torres-v-mullin-warden/,http://timetravel.mementoweb.org/list/20031117151530/http://212.153.43.18/icjwww/,"Torres v. Mullin, Warden",2003-11-17,http://bulk.resource.org/courts.gov/c/US/540/540.US.1035.03-5781.html,0,134087
http://212.153.43.18/icjwww/idocket/igus/igusjudgment/,http://courtlistener.org/opinion/134087/torres-v-mullin-warden/,http://timetravel.mementoweb.org/list/20031117151530/http://212.153.43.18/icjwww/idocket/igus/igusjudgment/,"Torres v. Mullin, Warden",2003-11-17,http://bulk.resource.org/courts.gov/c/US/540/540.US.1035.03-5781.html,0,134087
http://www.aceproject.org/main/english/bd/bdy_gb.htm,http://courtlistener.org/opinion/134735/vieth-v-jubelirer/,http://timetravel.mementoweb.org/list/20040428151530/http://www.aceproject.org/main/english/bd/bdy_gb.htm,Vieth v. Jubelirer,2004-04-28,None,84,134735
http://www.legis.state.ia.us/Central/LSB/,http://courtlistener.org/opinion/134735/vieth-v-jubelirer/,http://timetravel.mementoweb.org/list/20040428151530/http://www.legis.state.ia.us/Central/LSB/,Vieth v. Jubelirer,2004-04-28,None,84,134735
http://www.aceproject.org/main/english/bd/bdy_ca.htm,http://courtlistener.org/opinion/134735/vieth-v-jubelirer/,http://timetravel.mementoweb.org/list/20040428151530/http://www.aceproject.org/main/english/bd/bdy_ca.htm,Vieth v. Jubelirer,2004-04-28,None,84,134735
http://www.federalreserve.gov/releases/h15/data.htm,http://courtlistener.org/opinion/134742/till-v-scs-credit-corp/,http://timetravel.mementoweb.org/list/20040517151530/http://www.federalreserve.gov/releases/h15/data.htm,Till v. SCS Credit Corp.,2004-05-17,None,140,134742
http://www.balmoral.com/bdip.htm,http://courtlistener.org/opinion/134742/till-v-scs-credit-corp/,http://timetravel.mementoweb.org/list/20040517151530/http://www.balmoral.com/bdip.htm,Till v. SCS Credit Corp.,2004-05-17,None,140,134742
http://www.loanmallusa.com/dip.htm,http://courtlistener.org/opinion/134742/till-v-scs-credit-corp/,http://timetravel.mementoweb.org/list/20040517151530/http://www.loanmallusa.com/dip.htm,Till v. SCS Credit Corp.,2004-05-17,None,140,134742
http://www.irs.gov/irm/part4/ch50s19.html.,http://courtlistener.org/opinion/134750/central-laborers-pension-fund-v-heinz/,http://timetravel.mementoweb.org/list/20040607151530/http://www.irs.gov/irm/part4/ch50s19.html.,Central Laborers' Pension Fund v. Heinz,2004-06-07,None,55,134750
http://www.bcpl.net/~etowner/anthem.html.</blockquote><p>As,http://courtlistener.org/opinion/136984/elk-grove-unified-school-dist-v-newdow/,http://timetravel.mementoweb.org/list/20040614151530/http://www.bcpl.net/~etowner/anthem.html.</blockquote><p>As,Elk Grove Unified School Dist. v. Newdow,2004-06-14,None,397,136984
http://www.eisenhower.archives.gov/dl/DDay/SoldiersSailorsAirmen.pdf,http://courtlistener.org/opinion/136984/elk-grove-unified-school-dist-v-newdow/,http://timetravel.mementoweb.org/list/20040614151530/http://www.eisenhower.archives.gov/dl/DDay/SoldiersSailorsAirmen.pdf,Elk Grove Unified School Dist. v. Newdow,2004-06-14,None,397,136984
http://www.ut.blm.gov/planning/OTHERS/SRARMP-ROD%20MAY%201991.pdf).</p><p>[5],http://courtlistener.org/opinion/136985/norton-v-southern-utah-wilderness-alliance/,http://timetravel.mementoweb.org/list/20040614151530/http://www.ut.blm.gov/planning/OTHERS/SRARMP-ROD%20MAY%201991.pdf).</p><p>[5],Norton v. Southern Utah Wilderness Alliance,2004-06-14,None,261,136985
http://www.ut.blm.gov/sanrafaelohv/wtheplan.htm;,http://courtlistener.org/opinion/136985/norton-v-southern-utah-wilderness-alliance/,http://timetravel.mementoweb.org/list/20040614151530/http://www.ut.blm.gov/sanrafaelohv/wtheplan.htm;,Norton v. Southern Utah Wilderness Alliance,2004-06-14,None,261,136985
http://www.motorcycles.org,http://courtlistener.org/opinion/136985/norton-v-southern-utah-wilderness-alliance/,http://timetravel.mementoweb.org/list/20040614151530/http://www.motorcycles.org,Norton v. Southern Utah Wilderness Alliance,2004-06-14,None,261,136985
http://www.defenselink.mil/transcripts/2004/tr20040430-1402.html,http://courtlistener.org/opinion/137001/hamdi-v-rumsfeld/,http://timetravel.mementoweb.org/list/20040628151530/http://www.defenselink.mil/transcripts/2004/tr20040430-1402.html,Hamdi v. Rumsfeld,2004-06-28,None,228,137001
http://www.imf.org/external/np/fin/rates/param_rms_mth.cfm,http://courtlistener.org/opinion/137726/norfolk-southern-r-co-v-james-n-kirby-pty-ltd/,http://timetravel.mementoweb.org/list/20041109151530/http://www.imf.org/external/np/fin/rates/param_rms_mth.cfm,"Norfolk Southern R. Co. v. James N. Kirby, Pty Ltd.",2004-11-09,None,115,137726
http://www.cbanet.org/news/press%,http://courtlistener.org/opinion/137728/koons-buick-pontiac-gmc-inc-v-nigh/,http://timetravel.mementoweb.org/list/20041130151530/http://www.cbanet.org/news/press%,"Koons Buick Pontiac GMC, Inc. v. Nigh",2004-11-30,None,69,137728
http://courts.michigan.gov/scao/courtforms/appeals/cc405.pdf,http://courtlistener.org/opinion/137732/kowalski-v-tesmer/,http://timetravel.mementoweb.org/list/20041213151530/http://courts.michigan.gov/scao/courtforms/appeals/cc405.pdf,Kowalski v. Tesmer,2004-12-13,None,88,137732
http://nces.ed.gov/pubs94/94102.pdf.,http://courtlistener.org/opinion/137732/kowalski-v-tesmer/,http://timetravel.mementoweb.org/list/20041213151530/http://nces.ed.gov/pubs94/94102.pdf.,Kowalski v. Tesmer,2004-12-13,None,88,137732
"http://www.ojp.usdoj.gov/bjs/pub/pdf/ecp.pdf,",http://courtlistener.org/opinion/137732/kowalski-v-tesmer/,"http://timetravel.mementoweb.org/list/20041213151530/http://www.ojp.usdoj.gov/bjs/pub/pdf/ecp.pdf,",Kowalski v. Tesmer,2004-12-13,None,88,137732
http://www.ojp.usdoj.gov/bjs/pub/pdf/dccc.pdf,http://courtlistener.org/opinion/137732/kowalski-v-tesmer/,http://timetravel.mementoweb.org/list/20041213151530/http://www.ojp.usdoj.gov/bjs/pub/pdf/dccc.pdf,Kowalski v. Tesmer,2004-12-13,None,88,137732
http://sentencing.typepad.com/sentencing_law_and_policy/files/chris_wray_doj_memo.pdf,http://courtlistener.org/opinion/137738/united-states-v-booker/,http://timetravel.mementoweb.org/list/20050112151530/http://sentencing.typepad.com/sentencing_law_and_policy/files/chris_wray_doj_memo.pdf,United States v. Booker,2005-01-12,None,10391,137738
http://www.ussc.gov/hearings/BlakelyTest.pdf,http://courtlistener.org/opinion/137738/united-states-v-booker/,http://timetravel.mementoweb.org/list/20050112151530/http://www.ussc.gov/hearings/BlakelyTest.pdf,United States v. Booker,2005-01-12,None,10391,137738
http://sentencing.typepad.com/sentencing_law_and_policy/files/chris_wray_doj_memo.pdf,http://courtlistener.org/opinion/137739/united-states-v-booker/,http://timetravel.mementoweb.org/list/20041001151530/http://sentencing.typepad.com/sentencing_law_and_policy/files/chris_wray_doj_memo.pdf,United States v. Booker,2004-10-01,http://bulk.resource.org/courts.gov/c/US/543/543.US.220.html,318,137739
http://www.ussc.gov/hearings/BlakelyTest.pdf,http://courtlistener.org/opinion/137739/united-states-v-booker/,http://timetravel.mementoweb.org/list/20041001151530/http://www.ussc.gov/hearings/BlakelyTest.pdf,United States v. Booker,2004-10-01,http://bulk.resource.org/courts.gov/c/US/543/543.US.220.html,318,137739
http://www.usdoj.gov/olc/INSDetention.,http://courtlistener.org/opinion/137740/jama-v-immigration-and-customs-enforcement/,http://timetravel.mementoweb.org/list/20050112151530/http://www.usdoj.gov/olc/INSDetention.,Jama v. Immigration and Customs Enforcement,2005-01-12,None,113,137740
http://www.tsa.gov/public/display?theme=32,http://courtlistener.org/opinion/137742/illinois-v-caballes/,http://timetravel.mementoweb.org/list/20050124151530/http://www.tsa.gov/public/display?theme=32,Illinois v. Caballes,2005-01-24,None,377,137742
http://www.cbp.gov/xp/cgov/border_security/canines/training_program.xml,http://courtlistener.org/opinion/137742/illinois-v-caballes/,http://timetravel.mementoweb.org/list/20050124151530/http://www.cbp.gov/xp/cgov/border_security/canines/training_program.xml,Illinois v. Caballes,2005-01-24,None,377,137742
http://www.aphis.usda.gov/oa/pubs/detdogs.pdf,http://courtlistener.org/opinion/137742/illinois-v-caballes/,http://timetravel.mementoweb.org/list/20050124151530/http://www.aphis.usda.gov/oa/pubs/detdogs.pdf,Illinois v. Caballes,2005-01-24,None,377,137742
http://www.doc.state.ok.us/docs/policies.htm);,http://courtlistener.org/opinion/137748/johnson-v-california/,http://timetravel.mementoweb.org/list/20050223151530/http://www.doc.state.ok.us/docs/policies.htm);,Johnson v. California,2005-02-23,None,225,137748
http://caag.state.ca.us/publications/org_crime.pdf.,http://courtlistener.org/opinion/137748/johnson-v-california/,http://timetravel.mementoweb.org/list/20050223151530/http://caag.state.ca.us/publications/org_crime.pdf.,Johnson v. California,2005-02-23,None,225,137748
http://www.corr.ca.gov/,http://courtlistener.org/opinion/137748/johnson-v-california/,http://timetravel.mementoweb.org/list/20050223151530/http://www.corr.ca.gov/,Johnson v. California,2005-02-23,None,225,137748
http://www.,http://courtlistener.org/opinion/137748/johnson-v-california/,http://timetravel.mementoweb.org/list/20050223151530/http://www.,Johnson v. California,2005-02-23,None,225,137748
http://www.doc.state.ok.us/docs/policies.htm,http://courtlistener.org/opinion/137748/johnson-v-california/,http://timetravel.mementoweb.org/list/20050223151530/http://www.doc.state.ok.us/docs/policies.htm,Johnson v. California,2005-02-23,None,225,137748
http://www.law.onu.edu/faculty/streib/documents/JuvDeathDec2004.pdf,http://courtlistener.org/opinion/137749/roper-v-simmons/,http://timetravel.mementoweb.org/list/20050301151530/http://www.law.onu.edu/faculty/streib/documents/JuvDeathDec2004.pdf,Roper v. Simmons,2005-03-01,None,612,137749
http://www.law.onu.edu/faculty/streib/documentsJuvDeathSept302004.pdf,http://courtlistener.org/opinion/137749/roper-v-simmons/,http://timetravel.mementoweb.org/list/20050301151530/http://www.law.onu.edu/faculty/streib/documentsJuvDeathSept302004.pdf,Roper v. Simmons,2005-03-01,None,612,137749
http://www.census.gov/prod/cen2000/phc-1-34.pdf,http://courtlistener.org/opinion/142882/city-of-sherrill-v-oneida-indian-nation-of-ny/,http://timetravel.mementoweb.org/list/20050329151530/http://www.census.gov/prod/cen2000/phc-1-34.pdf,City of Sherrill v. Oneida Indian Nation of NY,2005-03-29,None,48,142882
http://www.eeoc.gov/briefs/meacha.txt,http://courtlistener.org/opinion/142883/smith-v-city-of-jackson/,http://timetravel.mementoweb.org/list/20050330151530/http://www.eeoc.gov/briefs/meacha.txt,Smith v. City of Jackson,2005-03-30,None,124,142883
http://www.eeoc.gov/sitkov.txt,http://courtlistener.org/opinion/142883/smith-v-city-of-jackson/,http://timetravel.mementoweb.org/list/20050330151530/http://www.eeoc.gov/sitkov.txt,Smith v. City of Jackson,2005-03-30,None,124,142883
http://www.epa.gov/pesticides/regulating/index.htm,http://courtlistener.org/opinion/142892/bates-v-dow-agrosciences-llc/,http://timetravel.mementoweb.org/list/20050427151530/http://www.epa.gov/pesticides/regulating/index.htm,Bates v. Dow Agrosciences LLC,2005-04-27,None,134,142892
"http://www.epa.gov/opppmsd1/PR_Notices/pr96-4.html,",http://courtlistener.org/opinion/142892/bates-v-dow-agrosciences-llc/,"http://timetravel.mementoweb.org/list/20050427151530/http://www.epa.gov/opppmsd1/PR_Notices/pr96-4.html,",Bates v. Dow Agrosciences LLC,2005-04-27,None,134,142892
"http://www.americanwineries.org/newsroom/winefacts04.htm,",http://courtlistener.org/opinion/142893/granholm-v-heald/,"http://timetravel.mementoweb.org/list/20050516151530/http://www.americanwineries.org/newsroom/winefacts04.htm,",Granholm v. Heald,2005-05-16,None,65,142893
http://www.ftc.gov/os/2003/07/winereport2.pdf,http://courtlistener.org/opinion/142893/granholm-v-heald/,http://timetravel.mementoweb.org/list/20050516151530/http://www.ftc.gov/os/2003/07/winereport2.pdf,Granholm v. Heald,2005-05-16,None,65,142893
http://www.cato.org/pubs/regulation/regv27n3/v27n3-3.pdf.,http://courtlistener.org/opinion/142893/granholm-v-heald/,http://timetravel.mementoweb.org/list/20050516151530/http://www.cato.org/pubs/regulation/regv27n3/v27n3-3.pdf.,Granholm v. Heald,2005-05-16,None,65,142893
http://www.,http://courtlistener.org/opinion/142895/johanns-v-livestock-marketing-assn/,http://timetravel.mementoweb.org/list/20050523151530/http://www.,Johanns v. Livestock Marketing Assn.,2005-05-23,None,60,142895
http://tarr.uspto.gov/servlet/tarr?,http://courtlistener.org/opinion/142895/johanns-v-livestock-marketing-assn/,http://timetravel.mementoweb.org/list/20050523151530/http://tarr.uspto.gov/servlet/tarr?,Johanns v. Livestock Marketing Assn.,2005-05-23,None,60,142895
http://www.ojp.usdoj.gov/bjs/pub/pdf/pjim03.pdf.</p><p>Noncompliance,http://courtlistener.org/opinion/142898/medellin-v-dretke/,http://timetravel.mementoweb.org/list/20050523151530/http://www.ojp.usdoj.gov/bjs/pub/pdf/pjim03.pdf.</p><p>Noncompliance,Medellin v. Dretke,2005-05-23,None,36,142898
http://untreaty.un.org/English/bible/englishinternetbible/partI/chapterIII/treaty31.asp,http://courtlistener.org/opinion/142898/medellin-v-dretke/,http://timetravel.mementoweb.org/list/20050523151530/http://untreaty.un.org/English/bible/englishinternetbible/partI/chapterIII/treaty31.asp,Medellin v. Dretke,2005-05-23,None,36,142898
http://www.deathpenaltyinfo.org/article.php?did=198&amp;,http://courtlistener.org/opinion/142898/medellin-v-dretke/,http://timetravel.mementoweb.org/list/20050523151530/http://www.deathpenaltyinfo.org/article.php?did=198&amp;,Medellin v. Dretke,2005-05-23,None,36,142898
